"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMjM1MjkzMTgyOTM4Njk4","100022348713828","https://scontent.fhyd11-3.fna.fbcdn.net/v/t39.30808-1/354057096_1478916329529977_2340556920076091010_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=beLahd_c6EcAb5198yb&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfBh_mKXr2YUxYunkRQo8iHEYpZ-h0hInFpnv7oEY4htAA&oe=66197A06","Doha Al Mansour","الهود تبع السيارة حلو ما عدا الشبك🙂
بس إنو هي BM🤤💙🤍","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=235293182938698","1","0","0","03/24/2024 05:41:40 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTQ3MTA1OTkxNzE2NzcwMg==","100073970837093","https://scontent.fhyd11-2.fna.fbcdn.net/v/t39.30808-1/393828146_354077703734588_8227545030389198590_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=G8UfrPiyo1oAb7WA8M_&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfCrETA23BTo3zjdgTwG_wUNqOTUDhf5Cb62qMvR_DxwJQ&oe=66197D88","Mostak Ahamad Himel","The more i se it , the more i like it . True sign of love for me. Well done bmw. ❤️❤️😍🔥⚡️🙌","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1471059917167702","4","0","2","03/24/2024 05:41:58 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTIyNjMzOTc1MTg1ODExNA==","1063264441","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/421962364_10227522393499805_7606283180503992728_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JqjqEJVkAMIAb4VO3bc&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfB8idTWZZBdQjXlWKlX2hw2WBI0haoFupLoN7vZfpGh-A&oe=66197F40","Steph Kustom","Moche !!!! Adieu BMW","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1226339751858114","1","0","0","03/24/2024 05:43:07 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTQ3NTU0ODQ4NjMzMzgzMA==","100002210398338","https://scontent.fhyd11-1.fna.fbcdn.net/v/t1.6435-1/31841431_1662610097155987_715199242620108800_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UD8W7PPtdrgAb7dv_n8&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfADHu_NQmy-7MRyI7ofkkBoJgA57s0iAd7IV4hxYLQcUg&oe=663B23C3","Zack Sinclair","that nose look funny ,.think better bigger","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1475548486333830","0","0","0","03/24/2024 05:44:00 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTg2NDIxMDQ2MDcwNTY5MQ==","100054681349192","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/424585110_893350852497618_6351570599675870988_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jU2-wJaEn64Ab4kmSEB&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfBiWalBSoO9FNlhh_KeALfRzjYOdkPBs_JbEGnR_MSwmA&oe=66195D95","Ahmed Sabrina","apparently the designer drank a bottle of whiskey when he drew the design of this car 😁😁😁","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1864210460705691","9","0","0","03/24/2024 05:44:42 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTE3MTg4MDY1NDIyNDQyMQ==","100001396533531","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/422065622_7277221142334365_1004800761002990083_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dpmXyq4vtbsAb6hp9s7&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfBenHgZtxpT0bsJRmX67uckLjC1Z4J3cfZ08pgyysr9FQ&oe=661981BD","Zbigniew Ziomek","Hi Designer, Heil Hitle* ""💀"".","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1171880654224421","0","0","0","03/24/2024 05:45:08 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfOTY1ODA2MDk4NDI4NjAxNw==","536070970","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/352227190_1257359761562457_8055348710587233248_n.jpg?stp=c12.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=n4LM_I_d2jgAb5ATKpL&_nc_oc=Adhl6GqcaLjXN5At-qtwD2qgHp-EpLjzYi31_wpN5XsLPgCgHREQUWEw_UVY21v5xk38A-5N2JeImgDcia51Te7E&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfB7ja0-9hDiARkGGVp1MlmKd9kHdybcOMrk56uJkaZ_Ow&oe=661963FD","Ryan Charles","Is this supposed to be an April fools joke? It’s still March….","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=9658060984286017","1","0","0","03/24/2024 05:45:13 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNDM0MTYzOTg5MDExNTQz","607527026","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/345268753_1151244295545975_1558007218187461203_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BAVTVgF2_XMAb4QsRiE&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfAJrRU73iUjDbDAOMaAgJ8u03GzB0KK2hHySBae9CsWBQ&oe=66197887","Jeorge Yee","Bryan Ooi 买了记得载我","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=434163989011543","2","0","1","03/24/2024 05:45:21 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNzU0OTczMzczMjc0MzEz","100003824454502","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/317624838_2644869975650458_1029716200176292858_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OhJ7De9RzjsAb6xmoti&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfCgKgrGuoQ0lA4nZ4UkgyZyT-50XFwFixtfzIoPk9l6fA&oe=66197E6E","Sabelo A Mbeje","This company will begin loosing a lot of customers if they continue like this","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=754973373274313","2","0","0","03/24/2024 05:45:49 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTE1NDA0MzQ2MjYwNDY1OA==","100000739371474","https://scontent-hyd1-1.xx.fbcdn.net/v/t39.30808-1/344600910_1424434924979673_1964346864239070696_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WjOIFWJP6u4Ab6Pjjt0&_nc_ht=scontent-hyd1-1.xx&oh=00_AfAU5EAcoxKZdyMACmNWSYDERPH7M0jkViNkeFEH7gud5A&oe=66197375","Ro Land","👎","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1154043462604658","2","0","0","03/24/2024 05:46:43 PM"
